iter	Passed	Remaining
401	16653	24773
402	16698	24737
403	16740	24696
404	16782	24655
405	16821	24610
406	16863	24569
407	16905	24529
408	16941	24480
409	16977	24430
410	17013	24381
411	17048	24330
412	17083	24280
413	17120	24233
414	17159	24188
415	17195	24139
416	17235	24096
417	17272	24048
418	17308	24000
419	17345	23952
420	17382	23906
421	17418	23857
422	17455	23810
423	17491	23762
424	17526	23711
425	17559	23660
426	17597	23614
427	17633	23566
428	17668	23516
429	17702	23466
430	17740	23420
431	17777	23373
432	17815	23329
433	17853	23283
434	17894	23242
435	17929	23193
436	17965	23145
437	18004	23101
438	18042	23056
439	18079	23010
440	18116	22964
441	18151	22915
442	18188	22868
443	18223	22820
444	18256	22769
445	18292	22722
446	18330	22677
447	18373	22639
448	18422	22607
449	18460	22563
450	18496	22515
451	18533	22469
452	18571	22424
453	18610	22381
454	18647	22335
455	18685	22291
456	18725	22249
457	18769	22211
458	18807	22167
459	18845	22122
460	18880	22075
461	18918	22030
462	18955	21984
463	18993	21941
464	19031	21896
465	19073	21856
466	19119	21821
467	19160	21780
468	19203	21742
469	19248	21705
470	19292	21668
471	19336	21630
472	19379	21591
473	19422	21552
474	19464	21513
475	19510	21477
476	19552	21438
477	19593	21396
478	19633	21355
479	19673	21312
480	19715	21272
481	19755	21230
482	19800	21193
483	19843	21155
484	19885	21115
485	19929	21078
486	19969	21035
487	20015	21000
488	20055	20957
489	20097	20917
490	20138	20877
491	20182	20839
492	20229	20803
493	20272	20764
494	20315	20725
495	20355	20683
496	20399	20645
497	20442	20606
498	20487	20569
499	20532	20532
500	20578	20496
501	20625	20460
502	20669	20422
503	20710	20381
504	20748	20338
505	20795	20301
506	20840	20264
507	20880	20223
508	20926	20186
509	20968	20146
510	21011	20106
511	21056	20069
512	21098	20028
513	21141	19989
514	21180	19946
515	21218	19902
516	21253	19855
517	21286	19807
518	21321	19760
519	21359	19716
520	21392	19668
521	21427	19620
522	21463	19575
523	21503	19533
524	21540	19488
525	21579	19445
526	21628	19412
527	21675	19376
528	21715	19334
529	21755	19292
530	21796	19251
531	21841	19213
532	21881	19172
533	21926	19134
534	21966	19092
535	22006	19050
536	22061	19021
537	22107	18984
538	22151	18945
539	22190	18902
540	22227	18858
541	22262	18812
542	22300	18768
543	22335	18722
544	22372	18678
545	22411	18634
546	22448	18590
547	22484	18545
548	22522	18502
549	22563	18461
550	22600	18416
551	22640	18374
552	22679	18331
553	22714	18286
554	22749	18240
555	22786	18196
556	22824	18152
557	22864	18111
558	22904	18069
559	22942	18026
560	22986	17987
561	23025	17945
562	23066	17904
563	23102	17859
564	23144	17819
565	23197	17787
566	23260	17763
567	23303	17724
568	23353	17689
569	23404	17656
570	23444	17613
571	23491	17577
572	23526	17531
573	23562	17486
574	23597	17441
575	23633	17396
576	23670	17352
577	23711	17311
578	23754	17272
579	23793	17229
580	23833	17187
581	23869	17143
582	23910	17102
583	23946	17057
584	23992	17020
585	24037	16982
586	24075	16938
587	24110	16893
588	24146	16849
589	24182	16804
590	24219	16761
591	24254	16716
592	24288	16670
593	24323	16624
594	24359	16580
595	24396	16537
596	24431	16492
597	24466	16447
598	24505	16405
599	24541	16360
600	24580	16318
601	24616	16274
602	24652	16230
603	24689	16187
604	24726	16143
605	24765	16101
606	24806	16060
607	24845	16019
608	24880	15973
609	24915	15929
610	24948	15883
611	24987	15842
612	25030	15802
613	25068	15759
614	25106	15716
615	25147	15676
616	25184	15633
617	25222	15590
618	25260	15547
619	25297	15505
620	25335	15462
621	25372	15418
622	25407	15374
623	25443	15331
624	25481	15288
625	25516	15244
626	25552	15200
627	25587	15156
628	25621	15112
629	25662	15071
630	25701	15030
631	25740	14987
632	25776	14944
633	25814	14902
634	25854	14861
635	25895	14820
636	25935	14779
637	25975	14738
638	26014	14696
639	26052	14654
640	26088	14611
641	26127	14569
642	26162	14525
643	26200	14483
644	26239	14441
645	26275	14398
646	26311	14355
647	26352	14314
648	26394	14274
649	26431	14232
650	26472	14192
651	26512	14150
652	26556	14111
653	26595	14070
654	26635	14029
655	26675	13988
656	26711	13945
657	26751	13904
658	26792	13863
659	26831	13822
660	26865	13778
661	26899	13734
662	26937	13692
663	26973	13649
664	27008	13605
665	27047	13564
666	27088	13523
667	27126	13482
668	27164	13440
669	27203	13398
670	27240	13356
671	27282	13316
672	27323	13276
673	27361	13234
674	27397	13191
675	27431	13147
676	27467	13104
677	27502	13061
678	27551	13024
679	27599	12987
680	27644	12949
681	27686	12909
682	27730	12870
683	27770	12829
684	27811	12789
685	27852	12748
686	27890	12707
687	27925	12663
688	27963	12622
689	28000	12579
690	28038	12538
691	28072	12494
692	28109	12452
693	28144	12409
694	28181	12367
695	28220	12326
696	28263	12286
697	28317	12252
698	28364	12214
699	28408	12174
700	28451	12135
701	28492	12095
702	28540	12057
703	28594	12022
704	28643	11985
705	28694	11949
706	28740	11910
707	28787	11872
708	28831	11833
709	28878	11795
710	28924	11757
711	28969	11718
712	29010	11677
713	29048	11635
714	29086	11593
715	29128	11553
716	29168	11512
717	29220	11476
718	29266	11437
719	29310	11398
720	29352	11358
721	29392	11317
722	29435	11277
723	29470	11234
724	29513	11194
725	29552	11153
726	29590	11111
727	29626	11069
728	29665	11028
729	29704	10986
730	29748	10947
731	29788	10906
732	29829	10865
733	29867	10823
734	29902	10781
735	29937	10738
736	29973	10696
737	30013	10655
738	30047	10612
739	30088	10571
740	30128	10530
741	30164	10488
742	30201	10446
743	30238	10404
744	30274	10362
745	30313	10321
746	30348	10278
747	30387	10237
748	30425	10196
749	30462	10154
750	30500	10112
751	30538	10071
752	30575	10029
753	30611	9987
754	30646	9944
755	30683	9903
756	30722	9862
757	30758	9820
758	30805	9781
759	30842	9739
760	30878	9697
761	30916	9656
762	30951	9614
763	30990	9572
764	31024	9530
765	31060	9488
766	31103	9448
767	31147	9409
768	31184	9367
769	31219	9325
770	31257	9284
771	31296	9242
772	31347	9205
773	31393	9166
774	31432	9125
775	31473	9084
776	31510	9043
777	31550	9002
778	31587	8961
779	31627	8920
780	31664	8878
781	31703	8837
782	31744	8797
783	31783	8756
784	31824	8716
785	31864	8675
786	31903	8634
787	31943	8593
788	31981	8552
789	32019	8511
790	32059	8470
791	32097	8429
792	32133	8388
793	32175	8347
794	32211	8306
795	32246	8264
796	32286	8223
797	32327	8183
798	32374	8144
799	32411	8102
800	32449	8061
801	32484	8019
802	32521	7978
803	32557	7936
804	32598	7896
805	32638	7855
806	32679	7815
807	32718	7774
808	32758	7734
809	32799	7693
810	32838	7652
811	32878	7612
812	32914	7570
813	32953	7529
814	32989	7488
815	33025	7446
816	33059	7405
817	33097	7363
818	33136	7323
819	33171	7281
820	33207	7240
821	33243	7198
822	33280	7157
823	33324	7117
824	33364	7077
825	33412	7038
826	33463	7000
827	33500	6958
828	33535	6917
829	33577	6877
830	33624	6838
831	33660	6796
832	33695	6755
833	33730	6713
834	33766	6672
835	33806	6631
836	33841	6590
837	33879	6549
838	33916	6508
839	33956	6467
840	33995	6427
841	34033	6386
842	34070	6345
843	34105	6303
844	34144	6263
845	34179	6221
846	34215	6180
847	34248	6138
848	34282	6097
849	34318	6056
850	34353	6014
851	34391	5974
852	34429	5933
853	34467	5892
854	34519	5854
855	34561	5814
856	34597	5772
857	34637	5732
858	34670	5691
859	34705	5649
860	34738	5608
861	34777	5567
862	34816	5526
863	34852	5486
864	34887	5444
865	34925	5404
866	34960	5362
867	34996	5322
868	35032	5281
869	35072	5240
870	35114	5200
871	35153	5160
872	35192	5119
873	35229	5078
874	35267	5038
875	35319	4999
876	35355	4958
877	35391	4917
878	35427	4876
879	35462	4835
880	35499	4795
881	35534	4754
882	35571	4713
883	35608	4672
884	35646	4631
885	35683	4591
886	35717	4550
887	35754	4509
888	35791	4468
889	35828	4428
890	35866	4387
891	35903	4347
892	35940	4306
893	35980	4266
894	36015	4225
895	36051	4184
896	36088	4143
897	36122	4103
898	36159	4062
899	36200	4022
900	36237	3981
901	36280	3941
902	36325	3902
903	36360	3861
904	36398	3820
905	36435	3780
906	36471	3739
907	36508	3699
908	36544	3658
909	36581	3617
910	36622	3577
911	36659	3537
912	36693	3496
913	36732	3456
914	36773	3416
915	36813	3375
916	36850	3335
917	36888	3295
918	36922	3254
919	36957	3213
920	36994	3173
921	37030	3132
922	37065	3092
923	37100	3051
924	37137	3011
925	37173	2970
926	37217	2930
927	37257	2890
928	37295	2850
929	37331	2809
930	37365	2769
931	37401	2728
932	37435	2688
933	37469	2647
934	37506	2607
935	37540	2566
936	37582	2526
937	37619	2486
938	37657	2446
939	37693	2405
940	37730	2365
941	37768	2325
942	37809	2285
943	37848	2245
944	37885	2204
945	37922	2164
946	37957	2124
947	37994	2084
948	38030	2043
949	38064	2003
950	38098	1963
951	38131	1922
952	38166	1882
953	38211	1842
954	38247	1802
955	38285	1762
956	38319	1721
957	38357	1681
958	38392	1641
959	38426	1601
960	38461	1560
961	38495	1520
962	38530	1480
963	38565	1440
964	38601	1400
965	38637	1359
966	38677	1319
967	38716	1279
968	38751	1239
969	38789	1199
970	38825	1159
971	38861	1119
972	38898	1079
973	38934	1039
974	38971	999
975	39007	959
976	39041	919
977	39077	879
978	39113	839
979	39149	798
980	39188	758
981	39223	718
982	39260	678
983	39295	638
984	39330	598
985	39365	558
986	39400	518
987	39437	479
988	39472	439
989	39506	399
990	39543	359
991	39579	319
992	39614	279
993	39649	239
994	39685	199
995	39722	159
996	39760	119
997	39798	79
998	39836	39
999	39872	0
