iter	Logloss
0	0.5715519438
1	0.4650881695
2	0.429930609
3	0.3823492523
4	0.3618298918
5	0.343471942
6	0.3136198386
7	0.2976220165
8	0.2809967393
9	0.2655549528
10	0.2588545689
11	0.2478216916
12	0.2420562708
13	0.2303126992
14	0.2262484757
15	0.2219624848
16	0.21461696
17	0.2106041866
18	0.2045598631
19	0.2034996751
20	0.2016658313
21	0.1991478482
22	0.1983679063
23	0.1933206292
24	0.1901255172
25	0.1889542328
26	0.1883067861
27	0.1869751475
28	0.1864101238
29	0.1858774513
30	0.1834523781
31	0.1829601043
32	0.1825165471
33	0.1794185901
34	0.1790879987
35	0.1786757859
36	0.1783435233
37	0.1776162681
38	0.1772673207
39	0.1764952766
40	0.1759267581
41	0.1744524868
42	0.1738598682
43	0.1731727044
44	0.1729033861
45	0.1725355042
46	0.1722818706
47	0.1720859455
48	0.1716983221
49	0.1714096322
50	0.1711793195
51	0.1707161963
52	0.1705440323
53	0.1702719753
54	0.1692759013
55	0.1690921978
56	0.1688530116
57	0.1684252825
58	0.1677733029
59	0.1660923969
60	0.1659164384
61	0.165718534
62	0.1655160255
63	0.1643662855
64	0.1641296674
65	0.1638626151
66	0.1635838909
67	0.1634087637
68	0.1632715303
69	0.1631298663
70	0.1629300965
71	0.1627572963
72	0.1619067818
73	0.1617428169
74	0.1615775294
75	0.1614555848
76	0.1607952511
77	0.1606273209
78	0.1604701552
79	0.1603550703
80	0.1601872617
81	0.160018099
82	0.1597834412
83	0.1596396079
84	0.1594727195
85	0.1593197536
86	0.1591843413
87	0.1590418751
88	0.1589357498
89	0.1587849986
90	0.158657982
91	0.1584551537
92	0.1583045987
93	0.1581431541
94	0.1579256953
95	0.1577773689
96	0.1576315189
97	0.1575021821
98	0.1573447242
99	0.1572304972
100	0.1571015134
101	0.1569723258
102	0.1568345371
103	0.1566958388
104	0.1565679092
105	0.1564057952
106	0.1563209757
107	0.1562020875
108	0.1560878939
109	0.1559410896
110	0.1558259144
111	0.1556992601
112	0.1556016132
113	0.1554789435
114	0.155335637
115	0.1551661433
116	0.1549253094
117	0.1547864252
118	0.1546980367
119	0.154581083
120	0.1544712535
